Left,Right
119,724
145,1425
131,1027
25,1233
22,1435
14,936
122,593
93,1116
118,346
59,840
15,331
69,1221
55,885
83,583
34,252
14,334
93,1199
22,1298
142,1449
38,1454
136,1514
25,1424
69,1492
86,189
4,287
110,1491
102,1339
39,1077
111,1567
129,1042
11,824
115,557
84,512
148,258
79,685
56,1277
90,1546
125,1334
44,566
91,806
52,643
60,1449
67,1564
7,1013
75,665
26,1276
129,940
71,1247
127,1477
10,1597
140,999
43,1453
100,798
81,198
123,1264
109,1411
45,1033
59,647
72,793
23,1250
124,717
115,542
146,170
139,1273
105,1642
131,1166
11,1042
4,485
79,874
67,1081
34,466
41,1306
103,1606
15,430
101,817
68,1531
28,942
33,1413
19,173
85,1288
87,1151
96,1461
113,1539
76,1635
44,1231
71,920
7,1530
46,520
31,573
131,344
137,1003
114,432
148,1571
128,818
74,1636
102,1623
31,1107
59,1393
66,527
47,877
149,1516
87,337
70,1232
139,251
29,1124
139,1057
139,443
78,1408
24,168
104,487
26,313
116,622
27,1000
89,555
40,996
115,1408
65,503
64,669
122,1025
3,1328
144,1275
85,1273
119,1304
67,870
12,1425
97,919
94,818
47,458
109,571
61,1460
48,397
108,1172
56,272
53,267
115,689
22,989
13,516
62,1006
102,956
43,551
78,1219
20,1595
36,1611
43,287
80,1553
40,1541
39,1151
139,1134
16,834
2,1498
51,1555
71,318
116,1630
101,332
129,631
19,525
18,1007
62,332
125,1368
144,156
84,1412
50,1551
128,808
65,1628
115,1093
131,168
127,255
23,254
112,530
56,155
134,1409
127,1457
108,167
92,626
74,327
110,1201
4,510
141,1086
148,1256
126,159
22,1638
48,994
101,1613
33,1502
55,632
86,1236
117,1646
43,595
96,692
12,984
98,1258
10,1193
97,1149
58,1508
77,1412
43,863
49,911
136,684
124,1439
106,1512
50,159
118,1422
112,1051
42,473
58,308
34,675
72,950
115,1562
14,998
16,244
113,749
105,783
138,1540
93,786
58,945
97,911
36,1297
5,684
89,1034
62,430
80,559
6,1075
103,1087
1,561
5,1211
57,976
8,645
12,1578
34,305
11,664
5,897
146,846
14,1642
67,1392
87,1169
61,409
15,862
86,487
73,1217
2,660
80,1515
43,315
139,517
135,1599
138,582
70,201
88,1191
58,1352
63,217
58,613
40,937
119,288
132,615
53,1191
143,1517
1,1077
53,945
103,1048
141,658
5,282
143,404
131,1600
31,1087
61,403
77,228
1,368
76,617
21,1044
97,229
120,668
24,1165
45,1187
115,169
32,209
56,1646
93,1570
122,1414
143,781
116,1396
119,589
10,1415
120,721
45,242
20,432
50,674
27,720
142,671
145,410
10,696
123,1439
33,664
28,273
111,1383
53,1039
38,184
25,1201
106,966
23,394
61,1047
34,962
38,1531
23,930
143,252
85,1334
10,192
108,464
132,888
37,1303
11,980
10,417
10,599
80,555
85,1215
100,1275
55,504
41,1286
50,337
79,634
6,1010
13,395
31,984
105,1456
68,1261
63,504
130,735
89,1190
23,819
34,370
111,608
90,1635
36,1335
31,362
29,1447
15,868
64,256
30,659
84,234
95,879
112,539
94,707
58,713
127,1571
131,1111
10,1053
131,552
87,933
7,432
88,1561
40,154
127,283
85,1044
48,209
13,1192
85,156
105,282
117,1001
9,806
47,863
29,1543
143,520
66,509
17,1555
95,607
129,1191
129,1280
116,924
63,185
18,978
39,1182
94,1050
9,498
143,675
149,351
111,684
143,460
118,975
5,827
2,405
47,609
74,1226
129,883
42,953
51,1392
136,251
30,1259
115,295
79,264
3,334
61,354
122,607
68,1204
78,1062
4,414
29,1337
116,875
104,567
84,1237
108,1412
73,1604
98,385
1,1481
147,784
38,459
6,683
78,403
81,165
9,1275
88,269
17,528
22,321
31,1548
49,1561
94,390
31,236
64,740
128,649
31,190
91,705
139,1495
143,553
76,406
145,1552
121,699
60,698
145,539
4,186
114,875
118,221
64,798
90,203
77,1254
133,1474
75,1199
146,873
116,572
109,817
42,1254
23,538
112,240
34,226
142,933
123,312
13,1038
110,1493
38,1500
86,846
83,281
40,1594
13,353
101,1403
38,905
143,523
83,1457
45,967
65,620
1,594
100,1033
25,1095
98,1438
148,1118
26,1578
94,751
129,992
94,777
51,683
89,1611
93,840
50,235
108,947
121,1397
76,166
140,486
14,253
24,182
20,293
42,1391
112,1359
68,1158
106,353
73,1422
81,1122
144,1244
97,1454
57,379
56,530
110,1232
83,1447
116,345
23,1551
16,1059
67,1548
123,1374
32,501
71,687
31,1104
34,1613
120,1267
32,1302
80,436
144,285
134,860
138,1519
43,1494
122,1550
122,763
49,1117
27,1351
116,529
99,608
112,643
106,1424
1,844
86,743
104,918
71,352
80,1535
103,718
50,1498
17,1265
116,189
124,1126
61,1631
49,543
35,812
128,761
124,1578
42,837
85,1066
116,1351
14,1608
58,326
83,578
103,1539
47,1433
47,514
106,1262
94,1591
35,927
27,693
13,950
138,275
71,1043
52,768
88,1552
89,603
109,1524
112,933
52,460
92,1062
5,701
142,1421
97,1414
96,587
64,975
136,278
91,1193
18,696
20,839
104,1319
30,818
31,1304
34,1461
72,350
86,1564
43,1174
24,430
78,983
135,1400
80,808
69,1505
85,1531
75,1312
108,1386
2,572
98,1305
105,950
130,831
58,562
89,607
85,553
140,569
109,845
106,1592
18,566
4,1487
10,1495
77,971
24,173
144,1096
94,684
97,207
107,493
9,420
10,363
18,962
51,1367
120,1145
83,1570
89,885
104,1638
74,1541
33,436
140,1219
61,792
114,583
34,1185
71,1508
59,266
98,171
132,1609
29,562
117,522
104,596
128,1073
83,1033
130,205
21,269
132,1509
124,342
61,452
103,1337
25,1378
62,890
20,327
57,650
122,1023
97,1447
18,943
12,1422
9,1155
126,1419
6,186
39,813
40,346
9,695
119,1276
98,1335
89,586
139,415
142,438
93,1475
120,658
67,813
78,1546
17,697
58,488
109,589
109,256
109,1247
133,553
138,770
86,1230
7,1301
140,280
42,1076
123,1452
59,1248
72,1157
58,210
86,852
144,1325
53,864
78,1423
119,749
102,1522
53,1069
36,1371
142,1137
41,313
104,573
61,161
79,906
147,1318
149,653
5,980
91,862
110,901
131,600
116,420
7,1028
18,1211
45,1151
32,1431
34,1628
55,641
11,1387
35,1320
16,1323
77,622
11,1327
147,1065
75,882
69,770
46,1310
53,1508
30,1283
28,873
74,748
1,873
21,522
142,471
3,311
81,1287
100,763
2,1203
1,1642
104,1611
22,658
136,1432
101,228
56,1584
109,476
62,350
37,1435
13,788
90,1289
137,629
133,1235
139,561
131,1147
98,1056
87,838
78,1433
58,1006
124,1536
109,1507
123,560
9,989
21,712
112,1162
122,1439
24,823
80,332
134,1115
36,1005
68,1342
92,1637
52,328
120,554
134,962
133,625
73,222
57,982
46,1479
99,577
44,754
10,485
62,184
127,786
137,979
94,1168
145,851
69,1191
100,372
19,967
83,969
7,692
106,1225
92,946
149,381
80,309
89,401
89,509
115,772
23,1372
3,526
38,603
1,1486
105,326
68,949
74,1099
77,838
125,190
80,1202
148,383
38,1583
15,1137
5,346
95,926
73,638
90,186
80,1154
5,712
77,1371
8,651
43,661
84,784
55,770
70,258
76,501
17,1120
41,1622
97,1161
1,1607
10,1182
102,755
3,684
93,1463
3,1302
95,1608
92,329
54,921
79,217
58,1149
57,1569
21,578
27,169
116,1480
69,1546
36,1321
47,738
34,1088
8,1149
73,499
135,900
9,1027
129,723
54,279
38,1116
109,1471
75,876
73,894
113,1141
24,1316
52,1352
97,1446
75,534
73,212
70,507
5,1146
128,1053
86,519
50,702
144,963
71,1401
77,442
29,784
4,1191
16,632
5,1491
14,1156
68,1577
6,900
52,565
15,1345
137,589
60,973
119,378
63,1275
5,1554
17,1513
53,1134
14,1144
131,907
45,669
56,1105
106,693
99,633
65,1316
44,310
19,1590
10,1272
135,470
62,1571
57,1616
109,1031
46,1143
78,248
75,819
50,535
106,1570
40,1494
120,671
39,391
120,1094
51,1610
142,751
106,999
11,1539
88,936
46,1037
89,948
93,898
40,1304
59,1027
97,799
12,231
58,858
3,546
49,633
118,404
134,489
48,735
115,550
29,844
88,694
64,1500
8,1211
56,1468
84,1335
75,344
146,189
94,931
29,633
137,1621
47,1241
8,886
39,1270
58,917
87,520
41,548
110,1482
44,239
57,526
58,990
97,807
136,1606
27,762
17,896
13,374
7,373
60,431
12,942
124,1304
26,919
84,399
45,501
3,1524
54,479
127,388
26,575
91,683
36,1182
72,1379
44,524
124,187
138,1366
106,1437
4,1340
104,416
122,1189
12,321
101,257
11,1023
24,344
104,461
38,847
136,1626
122,1636
128,1365
28,1443
92,501
7,958
79,1058
53,1111
103,377
34,577
53,1110
10,1262
143,763
22,236
35,1621
54,434
120,257
18,1416
66,350
32,1098
32,1323
141,833
36,153
29,1459
63,1462
71,334
68,1110
47,1439
25,863
19,495
88,444
129,1466
84,852
136,1300
51,383
32,1585
57,240
107,1061
120,820
89,689
122,787
106,1087
133,752
33,1527
102,1200
141,681
116,1500
94,1365
64,1278
5,422
38,360
55,1208
77,974
37,707
35,634
48,1146
136,1311
21,802
112,684
97,1181
20,1292
88,1308
4,966
66,731
65,1210
36,581
116,1541
86,1417
59,1578
80,376
134,1322
10,303
39,184
54,1320
103,457
48,1108
29,631
104,1533
98,1311
134,236
62,569
144,257
126,1495
68,1311
49,1450
91,690
120,756
24,1410
26,617
88,438
35,1564
93,609
59,1485
44,200
42,402
9,1070
143,1548
84,410
95,969
15,1314
102,767
127,735
59,549
92,522
93,1236
11,233
69,794
39,1606
98,1410
35,1190
87,1460
120,1082
10,590
105,1099
54,1205
110,190
104,1522
130,653
10,1146
40,727
63,1423
12,1439
136,641
11,1289
67,854
135,1148
122,750
89,612
7,621
81,252
60,1623
104,1440
37,1369
144,1052
52,1574
91,187
60,1507
28,1517
149,911
70,982
70,745
130,186
146,600
8,510
121,1106
138,809
29,156
58,1036
98,1408
72,598
94,835
54,1286
10,1305
24,413
125,1577
33,1457
28,792
34,416
83,859
17,836
147,1245
85,623
74,1603
110,826
94,1042
131,1509
149,418
108,910
90,1089
64,1165
52,779
52,804
97,1537
26,525
38,1237
88,1188
137,728
64,189
94,633
140,1182
70,1023
139,1584
90,731
34,1329
15,1228
39,464
97,228
121,914
30,1450
122,838
53,316
121,265
57,1378
126,1053
23,247
58,394
97,163
15,1255
139,1411
116,627
134,1390
52,905
22,1432
103,986
49,784
69,1488
100,696
119,699
19,1021
60,670
56,1212
32,555
71,615
86,1156
23,159
40,1456
76,196
68,1422
75,387
49,459
22,1624
69,274
124,507
142,1113
19,1234
16,926
7,1388
79,1310
25,1463
61,702
145,454
19,673
146,1527
40,1008
45,1296
24,327
3,1377
40,1361
126,1561
26,448
55,1324
139,576
133,1233
93,710
145,1470
118,503
49,759
123,735
85,757
99,885
32,790
67,1182
131,1217
8,198
75,1618
9,733
86,169
112,1410
62,1457
7,175
43,1233
99,1217
3,995
12,800
124,1574
10,1035
66,1004
113,272
63,807
117,932
130,1325
14,1604
66,875
29,452
76,1044
16,1016
60,440
75,178
38,1075
115,1022
61,1182
21,358
106,327
25,563
29,1556
148,901
37,1005
32,987
149,182
64,201
50,982
28,1043
120,882
133,728
141,1169
36,1157
139,188
36,1015
13,1368
49,1581
58,581
127,350
75,195
118,1062
57,608
135,694
139,1321
122,156
24,1288
56,1269
31,160
81,1532
8,584
65,877
124,651
19,801
56,1234
62,395
122,1525
40,253
14,1542
69,737
33,1506
53,426
130,1640
18,1323
30,1224
27,835
128,854
92,1194
50,212
141,419
90,1252
11,898
115,1298
60,249
95,557
45,788
77,425
83,974
92,1179
118,479
112,1123
38,1167
72,1127
99,1090
62,1004
13,203
123,159
147,1090
69,715
127,427
23,362
53,1087
26,1437
140,807
27,455
3,1399
52,338
107,516
130,1064
101,1544
103,696
57,909
1,1139
25,1299
23,523
106,619
99,1351
91,1125
85,641
62,1071
26,1452
59,781
124,747
121,1069
148,163
102,1136
45,227
149,457
3,902
38,844
72,1505
16,878
132,915
98,919
88,1289
129,482
112,435
13,981
116,1369
140,734
55,612
40,212
15,245
47,1230
97,1314
60,1469
111,961
149,1365
76,1501
141,543
106,514
80,1530
6,1388
31,522
38,556
105,1162
62,951
100,1304
31,288
127,1541
105,1514
108,168
86,553
127,558
37,553
134,400
127,656
68,1431
105,612
4,204
88,1542
17,1046
48,232
108,1428
124,935
135,1026
24,1071
62,1151
49,928
1,1489
72,825
78,1187
119,1407
104,389
3,634
21,322
57,594
45,1432
7,1562
43,248
26,1488
29,731
122,1592
73,1534
142,282
2,293
123,218
41,351
120,1122
87,622
22,447
79,1157
38,290
21,821
70,244
31,1639
49,1013
91,543
24,1411
54,1276
14,1186
69,287
144,1125
88,645
29,763
94,1438
127,153
17,499
78,1271
21,1558
130,1131
101,1143
93,443
116,955
80,790
100,980
124,1192
143,947
33,246
24,516
88,358
58,1329
146,217
45,1537
86,543
29,200
133,1216
138,1214
39,626
70,1062
134,1315
77,1390
80,1144
65,1106
75,574
18,1111
22,651
108,672
81,1520
61,1256
112,1431
62,424
120,154
109,219
129,1431
73,1616
67,922
147,996
99,374
71,752
125,498
137,485
107,1241
120,769
30,1637
120,605
88,1511
65,1180
31,667
36,231
136,911
6,1633
98,336
119,1012
49,395
25,1135
106,1172
142,1097
13,562
83,1105
29,828
88,290
98,1508
108,360
107,1063
36,1171
16,606
124,853
115,1421
131,1425
133,1493
104,951
95,613
27,1154
127,1427
118,401
12,305
48,640
61,1079
85,485
46,583
11,1650
117,1216
97,740
141,822
142,1443
105,1563
138,386
17,1126
58,1524
147,1154
74,1594
33,578
23,966
62,1294
63,1008
99,580
4,525
88,304
14,426
97,363
22,1133
126,586
1,304
146,289
86,343
97,1250
111,1001
122,1608
105,314
144,234
103,190
147,1554
111,967
80,469
92,969
72,1500
79,542
37,367
18,954
107,556
68,761
61,1578
79,778
107,1210
78,772
90,1443
127,1250
99,797
147,683
39,980
26,280
12,985
97,1379
53,219
140,1466
90,219
133,1250
32,829
108,634
58,778
33,210
65,353
49,523
117,1425
53,1030
56,793
101,297
14,1633
66,889
53,588
79,220
38,730
132,1456
17,1032
95,1322
37,1172
145,894
111,405
123,1387
122,1066
72,911
126,1100
138,1097
119,1115
25,1145
136,1136
123,1402
70,1193
126,612
144,233
135,1629
18,228
28,727
118,1179
43,768
60,722
71,1171
126,653
43,527
148,531
88,1040
12,786
21,312
13,172
82,855
97,173
99,441
25,693
17,1528
66,962
12,1386
38,1395
20,892
92,482
99,1257
81,1401
20,1073
71,536
52,497
55,1078
38,1093
136,456
25,1536
51,180
78,651
119,465
12,443
61,758
37,1140
145,1206
9,715
101,315
42,658
63,1406
14,925
12,320
66,401
60,1472
21,383
47,306
48,1365
92,907
139,1583
87,1338
128,1080
34,437
85,1338
99,1199
1,1111
79,942
33,766
10,1149
50,1644
38,396
105,706
28,1200
102,1545
46,1645
102,867
111,536
40,756
84,429
18,172
85,715
8,844
108,225
143,1303
135,1471
64,568
140,1415
12,1288
103,168
91,341
126,1593
105,471
145,172
144,1491
128,1272
98,832
37,1167
8,325
136,1037
21,986
51,534
112,839
87,480
30,922
139,1593
3,1185
30,591
116,641
37,198
58,1616
126,433
94,1636
20,1084
68,259
100,429
56,1429
96,385
37,1166
93,262
122,1590
76,448
31,294
28,848
21,1269
66,1101
94,350
60,1414
131,811
147,1095
14,1377
78,1081
107,1408
118,194
126,1220
52,1091
96,525
89,1443
82,195
131,1302
146,997
24,210
110,566
128,1364
90,1572
93,1569
108,489
3,1649
34,355
126,435
81,1088
34,272
74,1277
12,178
10,1287
91,1096
133,624
116,1148
118,410
45,1012
62,1441
111,1344
89,1636
91,1040
112,1556
19,682
127,1362
135,255
149,251
124,784
100,647
2,1363
129,1202
33,1145
79,763
90,921
29,1255
115,834
17,1504
114,415
79,1612
140,447
130,939
58,1326
108,1313
79,837
116,765
49,607
89,454
66,1401
16,1402
102,1010
7,1121
71,684
61,1381
97,1013
29,1443
128,958
127,881
25,175
28,1391
104,1414
97,895
138,1198
46,772
34,749
135,797
32,1213
116,701
77,1193
125,1058
41,971
40,1142
89,773
144,319
35,326
76,1298
100,332
59,1519
125,1648
135,645
144,263
148,1427
61,736
138,1237
136,1020
93,780
56,1165
111,644
149,906
51,226
144,934
7,572
122,352
46,581
64,1445
50,763
100,462
56,1241
136,753
21,1536
40,270
86,1401
18,1240
118,603
108,371
15,1073
44,1205
39,1479
39,906
138,1068
141,320
68,912
118,849
82,1306
57,1316
110,908
15,1221
117,1414
42,522
105,289
72,454
58,730
14,746
64,674
78,1130
44,599
27,251
82,1524
70,1131
11,1005
142,909
56,312
81,1461
135,524
106,1640
114,1409
6,811
33,1609
64,1230
17,1219
142,557
125,1390
88,697
63,1030
131,1168
67,648
31,1008
43,420
31,475
80,616
58,615
96,1016
43,707
9,1292
22,866
107,1448
133,1229
126,1607
145,942
141,1128
96,908
33,1042
20,696
53,770
26,800
66,1164
130,1582
68,883
44,393
144,737
30,1506
103,933
32,217
126,279
79,1554
87,658
34,707
73,1115
100,1248
111,984
24,445
95,592
9,328
140,573
57,497
100,1604
60,317
25,1121
59,251
25,246
58,1071
46,825
35,168
126,1254
126,537
18,798
105,969
74,771
32,991
73,919
98,267
116,1509
76,748
5,816
116,1057
141,960
27,238
31,1136
4,1156
25,1482
63,561
114,1550
80,430
51,813
86,1516
42,330
26,432
54,1346
86,309
22,632
106,155
79,1270
36,882
136,1031
110,554
78,1153
94,945
142,336
110,992
114,1112
4,593
111,190
86,587
101,793
82,161
38,1152
12,253
45,544
96,1231
134,381
138,323
3,1063
105,358
118,1122
35,1249
103,1581
18,1614
145,1536
7,1475
25,346
145,1407
30,951
33,1012
91,1245
111,320
11,1415
17,915
119,1260
4,1272
85,172
107,1455
97,733
15,687
55,1041
59,1390
135,721
115,672
61,671
113,1263
80,612
94,505
115,537
145,788
58,626
23,1609
119,824
60,652
125,1089
138,1244
120,921
110,351
42,205
52,490
13,1462
42,1575
32,863
25,1363
58,499
117,1460
103,376
119,532
23,1476
79,1594
96,310
136,893
122,1646
111,766
29,1299
74,1643
32,1369
42,1441
68,877
28,259
73,418
64,456
53,1331
10,983
36,1407
105,1564
119,273
38,1252
140,412
134,838
23,977
145,979
125,211
13,1065
141,1106
64,739
67,1546
67,581
68,1592
42,851
129,760
51,780
62,621
88,368
108,629
13,1604
67,177
32,1216
47,761
2,912
105,945
76,1633
82,526
69,1253
22,1611
60,1493
49,795
43,1362
144,249
118,1447
148,1153
110,558
102,1208
74,421
111,890
45,573
18,1528
140,1290
15,1344
141,769
49,1271
107,1642
145,1060
56,1488
78,920
32,736
130,676
103,1383
90,252
146,1229
8,686
139,1286
93,667
25,300
20,1013
75,326
127,1299
147,969
13,722
78,695
4,976
22,762
85,1566
47,1031
38,1351
58,632
12,1522
69,793
35,274
76,730
76,198
72,491
147,338
102,271
58,1540
14,1598
29,911
104,1628
55,935
17,818
22,686
44,1307
41,400
2,1399
133,1202
85,698
56,1082
15,434
9,1451
124,1201
147,1153
112,1459
106,1292
23,1630
37,668
51,1412
108,759
137,765
22,424
107,1146
78,1418
96,163
135,983
106,757
88,520
54,835
53,474
66,876
57,358
1,423
78,713
138,1329
37,320
43,724
26,320
39,1310
91,1576
5,532
84,1136
69,434
119,784
16,1422
10,1384
122,1154
127,842
63,1163
1,1172
26,1221
69,1138
38,410
11,983
33,183
89,941
69,837
135,192
62,222
32,546
119,1195
89,1556
80,688
32,1601
61,1456
92,249
110,818
97,1361
139,547
144,1639
93,1552
49,1136
54,1345
85,1416
138,1123
56,208
17,1562
30,1316
14,295
21,154
143,862
128,1415
26,951
129,1040
19,1355
138,543
108,294
114,519
63,1241
87,1038
66,1115
81,878
124,285
130,374
117,174
126,965
57,1571
9,1319
141,742
108,1263
7,1024
134,931
118,1344
147,1124
66,1262
117,1032
4,1161
107,495
113,1179
69,1609
118,1076
86,399
7,1491
78,160
24,246
9,1436
87,922
40,1535
104,1565
89,830
136,1384
23,1449
17,907
99,995
70,1284
19,361
140,719
122,1090
146,737
146,767
95,1291
60,514
83,568
42,640
98,1509
21,1069
63,1308
92,268
91,665
121,325
26,1620
144,489
106,168
125,289
7,1223
83,550
78,1436
71,908
125,1394
137,1568
149,583
136,1461
